S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
5296,5102,3893,802,51,202,0,154,194,711,3421,64.5,2.9,5.4,0.9,26.2,48439111311,48,439,111311
2989,2925,2694,140,0,53,0,38,64,139,2593,73.3,3.4,4.9,0.9,17.4,48439111312,48,439,111312
8317,8219,5131,2144,0,888,29,27,98,1174,4008,64.9,2.9,7.6,0.6,24.0,48439111313,48,439,111313
5102,4985,2845,1460,84,369,0,227,117,928,2174,66.8,1.8,5.2,1.3,24.8,48439111314,48,439,111314
4840,4740,3590,810,0,98,0,242,100,814,2981,53.6,6.1,10.6,0.4,29.4,48439111402,48,439,111402
7687,7626,5258,1426,62,401,12,467,61,1320,4461,54.6,4.9,10.2,0.8,29.5,48439111404,48,439,111404
1958,1903,1635,180,0,49,0,39,55,536,1175,50.4,6.0,14.9,2.5,26.3,48439111405,48,439,111405
3580,3572,2694,600,27,172,0,79,8,345,2387,62.1,2.0,8.8,2.7,24.4,48439111406,48,439,111406
2741,2693,2096,301,16,206,0,74,48,140,2030,63.2,1.7,8.6,0.0,26.6,48439111407,48,439,111407
3038,3038,2305,607,0,36,0,90,0,394,2001,63.1,3.7,8.0,2.2,22.9,48439111408,48,439,111408
4473,4288,3274,505,0,179,19,311,185,455,3010,70.0,3.6,4.7,0.5,21.2,48439111409,48,439,111409
3984,3875,3239,477,4,64,0,91,109,365,2969,42.9,6.7,10.7,0.8,38.9,48439111505,48,439,111505
5058,4960,3893,750,5,129,0,183,98,553,3513,40.8,8.4,19.7,3.9,27.1,48439111506,48,439,111506
3349,3200,1736,890,0,441,0,133,149,822,1079,43.4,5.1,10.1,2.0,39.4,48439111513,48,439,111513
5328,5119,2535,1415,0,469,0,700,209,1946,1355,40.6,3.4,10.7,1.6,43.7,48439111514,48,439,111514
5750,5548,2802,1809,21,554,0,362,202,1343,1860,41.1,5.3,9.1,3.6,40.9,48439111516,48,439,111516
5775,5704,2997,1425,12,836,0,434,71,2202,1355,40.1,8.5,15.2,2.8,33.4,48439111521,48,439,111521
5898,5838,4355,251,62,370,0,800,60,3862,1381,48.8,6.4,9.0,3.3,32.6,48439111522,48,439,111522
7410,7237,2132,3330,0,950,0,825,173,1800,1242,35.3,4.8,11.7,4.2,44.1,48439111523,48,439,111523
6214,6065,3026,1553,14,689,44,739,149,2291,1544,34.4,4.9,10.6,4.7,45.5,48439111524,48,439,111524
5200,5084,2807,1181,63,645,0,388,116,1833,1428,39.6,5.8,8.4,3.9,42.3,48439111525,48,439,111525
3608,3414,2450,531,6,132,0,295,194,832,1946,47.1,3.5,14.9,2.0,32.5,48439111526,48,439,111526
3680,3609,3288,97,0,101,38,85,71,876,2512,49.9,10.6,10.3,0.2,28.9,48439111529,48,439,111529
5528,5416,4260,613,16,373,0,154,112,315,4119,61.3,4.1,8.0,0.0,26.6,48439111530,48,439,111530
4178,4065,3186,596,0,228,0,55,113,259,3049,46.6,5.4,13.3,1.5,33.2,48439111531,48,439,111531
