S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
8695,48.5,51.5,99.5,90.4,3.7,0.5,2.1,0.0,2.8,0.5,67.4,26.3,7853,52.7,41.2,11.5,6426,23.2,20.8,34.1,27.9,9.5,6426,12.2,5.9,10.7,8.2,12.0,9.7,3.9,19.6,40290,8597,48465950201,48,465,950201
4860,44.0,56.0,98.5,91.9,0.6,0.9,0.0,0.2,4.8,1.5,91.4,6.3,4228,79.4,61.5,17.9,3582,39.2,28.2,27.7,11.6,2.2,3582,21.9,10.8,14.5,9.3,11.3,7.0,2.5,4.2,20000,4858,48465950301,48,465,950301
4378,49.7,50.3,98.5,92.1,0.3,0.0,0.0,0.0,6.1,1.5,96.8,2.4,4044,85.4,64.5,20.8,3415,34.4,36.9,23.0,5.5,1.1,3415,16.9,11.3,13.1,12.6,12.8,4.2,1.8,6.0,23642,4345,48465950302,48,465,950302
4149,52.1,47.9,98.6,90.6,1.2,0.0,2.3,0.0,4.5,1.4,86.1,9.9,3599,63.1,47.4,15.8,3132,33.2,27.6,20.6,8.7,2.6,3132,23.7,12.8,17.9,10.6,9.9,4.6,0.8,1.4,16185,4076,48465950400,48,465,950400
7695,57.1,42.9,97.4,90.4,3.6,0.1,0.5,0.0,2.8,2.6,72.5,22.0,6879,54.2,33.7,20.5,5955,36.0,20.8,21.4,12.2,4.2,5955,22.8,5.0,19.2,10.8,9.8,6.9,1.8,5.2,20929,6004,48465950500,48,465,950500
3932,49.4,50.6,100.0,95.2,0.0,0.8,0.2,0.0,3.7,0.0,98.6,1.2,3825,85.4,68.1,17.3,3045,27.5,24.2,13.1,6.1,3.3,3045,23.3,12.4,15.9,9.4,10.0,8.9,0.4,2.5,17540,3882,48465950601,48,465,950601
3726,48.7,51.3,100.0,97.2,0.0,0.4,0.0,0.0,2.4,0.0,96.7,3.3,3568,80.0,61.0,19.0,2939,40.4,28.5,14.4,3.0,2.8,2939,29.7,16.1,22.5,4.7,6.7,2.9,1.4,1.8,13577,3726,48465950602,48,465,950602
6367,54.4,45.6,100.0,97.8,0.2,0.6,0.3,0.0,1.1,0.0,84.2,15.0,5948,71.3,42.1,29.2,4727,23.1,20.9,27.4,10.5,9.1,4727,27.3,9.0,12.5,7.3,8.1,8.7,3.5,8.7,18761,6321,48465950700,48,465,950700
5167,52.2,47.8,100.0,91.8,0.0,0.0,0.5,0.0,7.7,0.0,69.6,29.9,4893,61.0,40.9,20.1,4127,24.3,22.2,32.5,12.3,7.2,4127,15.6,8.9,19.7,10.4,6.6,5.8,2.5,13.6,24089,5167,48465950800,48,465,950800
0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,48465980000,48,465,980000
